"NSC_number","smiles","logp","mol_weight","mol_formula"
5889,"CC23C1=C(C(=C(O)C(=C1O)C)C(C)=O)OC2=CC(=O)C(C3=O)C(C)=O",2.88,344.3202,"C18H16O7"
5931,"C(OCC1=CC=CC=C1)C2=CC=CC=C2",3.31,198.264,"C14H14O"
5935,"NNC1=CC=C(C=C1)Br",1.39,187.0387,"C6H7BrN2"
5937,"NN(C1=CC=CC=C1)C2=CC=CC=C2",2.8,184.2402,"C12H12N2"
6081,"NC1=C2C(=CC=C1)C=CC=C2N",1.78,158.2024,"C10H10N2"
6084,"CC(CC1=CC=CC=C1)NC",2.07,149.2352,"C10H15N"
6091,"O=S(=O)(C1=CC=C(N)C=C1)C2=CC=C(N)C=C2",0.97,248.299,"C12H12N2O2S"
6097,"O=C(CC1=CC=CC=C1)C2=CC=CC=C2",3.18,196.2482,"C14H12O"
6103,"[O-][N+](=O)C1=CC=C(C=O)C=C1",1.56,151.1214,"C7H5NO3"
6109,"CC(CCC#N)C",1.54,97.1596,"C6H11N"
6111,"N#CC1=CC=C(C=C1)Cl",2.47,137.5683,"C7H4ClN"
6115,"CC(=O)C1=CC=C(Cl)C=C1",2.32,154.5957,"C8H7ClO"
6116,"CC(NC1=CC(=CC=C1)Cl)=O",2.15,169.6103,"C8H8ClNO"
6120,"[O-][N+](=O)C1=C(NN=C(C)C)C=CC(=C1)[N+](=O)[O-]",3.05,238.2024,"C9H10N4O4"
6123,"O=C(NC1=CC=CC=C1)CCC",2.05,163.2188,"C10H13NO"
6135,"OC4C2C1C(C)(C(C(CCC(=O)O)C)CC1)C(O)CC2C3(C)CCC(CC3C4)O",2.02,408.577,"C24H40O5"
6149,"C(/Cl)=C/Cl",2.09,96.9438,"C2H2Cl2"
6154,"CC([N+](=O)[O-])Cl",1.1,109.5121,"C2H4ClNO2"
6157,"NC1=C(N)C=CC(=C1)Cl",1.28,142.5877,"C6H7ClN2"
6162,"COC1=C(N)C=C(C)C=C1",1.74,137.181,"C8H11NO"
6163,"ClC2=NC1=C(C=CC=C1)C=C2",2.71,163.6061,"C9H6ClN"
6166,"ClC1=C2C(=CC=C1)C=CC=C2",3.9,162.6183,"C10H7Cl"
6171,"CC12OC(C)(C)C(CC1)CC2",2.5,154.2516,"C10H18O"
6175,"C4=CC3=C(C2=C(C1=C(C=CC=C1)C=C2)C=C3)C=C4",5.5,228.2928,"C18H12"
6179,"BrC(Br)(Br)Br",3.42,331.627,"CBr4"
6180,"ClCC#N",0.45,75.4975,"C2H2ClN"
6183,"NC1=C(Cl)C=CC=C1",1.9,127.5731,"C6H6ClN"
6191,"NC2=CC=C(SC1=CC=C(N)C=C1)C=C2",2.18,216.3002,"C12H12N2S"
6204,"ClCCCCl",2.0,112.9864,"C3H6Cl2"
6214,"OC1=C(C=CC=C1Br)Br",3.36,251.905,"C6H4Br2O"
6215,"[O-][N+](=O)C1=C(O)C(=CC=C1)[N+](=O)[O-]",1.37,184.108,"C6H4N2O5"
6236,"CN(C1=CC=C(C=C1)N=NC2=CC=CC=C2)C",4.58,225.2926,"C14H15N3"
6247,"O=C1CCCCO1",-0.35,100.117,"C5H8O2"
6253,"COC1=C(C)C=CC=C1",2.74,122.1664,"C8H10O"
6254,"COC1=CC=C(C)C=C1",2.66,122.1664,"C8H10O"
6255,"COC1=CC(=CC=C1)C",2.66,122.1664,"C8H10O"
6257,"CC(OC1=C(C)C=CC=C1)=O",1.93,150.1768,"C9H10O2"
6289,"C(CSCCO)O",-0.63,122.1818,"C4H10O2S"
6292,"[O-][N+](=O)C1=CC(=CC=C1Cl)[N+](=O)[O-]",2.17,202.5537,"C6H3ClN2O4"
6294,"[O-][N+](=O)C1=C(Cl)C=CC(=C1)Cl",3.09,192.0012,"C6H3Cl2NO2"
6295,"[O-][N+](=O)C1=CC(=C(Cl)C=C1)Cl",3.12,192.0012,"C6H3Cl2NO2"
6296,"OC1=C(Cl)C=CC(=C1)Cl",3.06,163.003,"C6H4Cl2O"
6297,"IC1=CC=C(C=C1)I",4.11,329.9066,"C6H4I2"
6300,"ON=C1CCCCC1",0.84,113.159,"C6H11NO"
6303,"OC(=O)C1=C(O)C(=CC(=C1)I)I",4.56,389.9158,"C7H4I2O3"
6306,"OC(=O)C1=CC=C(C#N)C=C1",1.56,147.133,"C8H5NO2"
6312,"O=C2C1=C(C=CC=C1)C(C2)=O",0.61,146.1452,"C9H6O2"
6323,"[O-][N+](=O)C2=C1C(=CC=CC1=CC=C2)[N+](=O)[O-]",2.58,218.1684,"C10H6N2O4"
6328,"COC1=C(OC)C=CC(=C1)CCN",0.77,181.234,"C10H15NO2"
6347,"CC(C)(C)C1=C(O)C(=CC(=C1)C)C(C)(C)C",5.1,220.354,"C15H24O"
6349,"CCCCOC(=O)C1=CC=C(C(OCCCC)=O)C=C1",5.53,278.3474,"C16H22O4"
6362,"N#CC=C",0.25,53.0634,"C3H3N"
6363,"CCC[N+](=O)[O-]",0.87,89.0938,"C3H7NO2"
6368,"CC(C(C(C)C)O)(CO)C",1.24,146.229,"C8H18O2"
6370,"CCCCOC(=O)C1=C(C(OCCCC)=O)C=CC=C1",4.72,278.3474,"C16H22O4"
6396,"P(=S)(N1CC1)(N2CC2)N3CC3",0.53,189.2147,"C6H12N3PS"
6493,"CCC=O",0.59,58.0798,"C3H6O"
6500,"CC2=NC1=CC=CC=C1[NH]2",1.43,132.1646,"C8H8N2"
6512,"C5=C4C3=C(C2=C1C(=CC=CC1=CC=C2)C3=CC=C4)C=C5",6.25,252.3148,"C20H12"
6524,"S(C(C(=O)OCC)CC(OCC)=O)P(=S)(OC)OC",2.36,330.3503,"C10H19O6PS2"
6526,"C=CCO",0.17,58.0798,"C3H6O"
6529,"BrC1=CC=CC=C1",2.99,157.0095,"C6H5Br"
6531,"BrC1=CC=C(C)C=C1",3.42,171.0363,"C7H7Br"
6552,"CC(C(=O)C1=CC=CC=C1)C",2.73,148.2042,"C10H12O"
6557,"CC(C)(C)C1=CC=CC=C1",4.11,134.2206,"C10H14"
6589,"CC(C)(C)C1=CC=C(C)C=C1",5.17,148.2474,"C11H16"
6738,"C(OP(=O)(OC)OC)=C(Cl)Cl",1.47,220.9767,"C4H7Cl2O4P"
6747,"O1C(C1)CCl",0.45,92.5249,"C3H5ClO"
6754,"CCOCOCC",0.84,104.1486,"C5H12O2"
6762,"CCOC(=O)C1=CC(=CC=C1)[N+](=O)[O-]",2.35,195.1744,"C9H9NO4"
6763,"CCOC(=O)C1=CC=C([N+](=O)[O-])C=C1",2.33,195.1744,"C9H9NO4"
6770,"CC1=C(C)C=C(C)C(=C1)C",4.0,134.2206,"C10H14"
6773,"O=C(/C=C/C1=CC=CC=C1)OCC",2.99,176.2146,"C11H12O2"
6774,"O=C(CC(OCC)=O)C1=CC=CC=C1",1.87,192.214,"C11H12O3"
6779,"O=S(C1=CC=CC=C1)C2=CC=CC=C2",2.06,202.2704,"C12H10OS"
6780,"O=S(=O)(C1=CC=CC=C1)C2=CC=CC=C2",2.4,218.2698,"C12H10O2S"
6783,"C1(=CC=CC=C1)NC2=CC=CC=C2",3.5,169.2256,"C12H11N"
6787,"C2C1=CC=CC=C1C3=C2C=CC=C3",4.18,166.222,"C13H10"
6794,"C(COC1=CC=CC=C1)OC2=CC=CC=C2",3.81,214.2634,"C14H14O2"
6803,"C4=CC1=C(C2=CC=CC3=CC=CC1=C23)C=C4",5.16,202.255,"C16H10"
6810,"C1=CC(=CC=C1C2=CC=CC=C2)C3=CC=CC=C3",6.03,230.3086,"C18H14"
6830,"O=NN(CCCC)CCCC",2.63,158.243,"C8H18N2O"
6854,"CCOC(=O)C1=CC=NC=C1",1.43,151.1646,"C8H9NO2"
6953,"SC1=CC=CC=C1",2.52,110.1734,"C6H6S"
6970,"BrC1=C(O)C=CC=C1",2.35,173.0089,"C6H5BrO"
6973,"CC(CCC=C)=O",1.02,98.1444,"C6H10O"
6976,"OC(=O)C1=C(C=CC=C1)Br",2.2,201.0193,"C7H5BrO2"
6977,"COC1=C(C=CC=C1)Br",2.86,187.0357,"C7H7BrO"
7078,"C(N)#N",-0.82,42.0402,"CH2N2"
7079,"CC(OCCBr)=O",1.11,167.0021,"C4H7BrO2"
7084,"[O-][N+](=O)C1=CC(=CC=C1)Br",2.64,202.0071,"C6H4BrNO2"
7085,"BrC1=CC=C(N)C=C1",2.26,172.0241,"C6H6BrN"
7086,"BrC1=C(N)C=CC=C1",2.11,172.0241,"C6H6BrN"
7114,"CCCCNC1=CC=CC=C1",3.58,149.2352,"C10H15N"
7170,"O=S(=O)(C1=CC=C(N)C=C1)O",-2.16,173.1862,"C6H7NO3S"
7177,"C1(=CC=CC=C1)CCNC(C)=O",1.19,163.2188,"C10H13NO"
7189,"[O-][N+](=O)C1=CC(=CC=C1)[N+](=O)[O-]",1.49,168.1086,"C6H4N2O4"
7194,"[O-][N+](=O)C1=CC(=CC=C1C)[N+](=O)[O-]",1.98,182.1354,"C7H6N2O4"
7195,"CN(C)C1=CC=CC=C1",2.31,121.1816,"C8H11N"
7198,"CC(C)C1=CC=C(N)C=C1",2.49,135.2084,"C9H13N"
7201,"OC1=C2C(=CC=C1)C=C(O)C=C2",1.94,160.172,"C10H8O2"
7202,"OC1=C2C(=CC=C1)C(=CC=C2)O",1.94,160.172,"C10H8O2"
7205,"CCN(CC)C1=CC=CC=C1",3.31,149.2352,"C10H15N"
7216,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C=CC(=C3)CC",4.37,236.2696,"C16H12O2"
7293,"BrCBr",1.7,173.8348,"CH2Br2"
7294,"BrCCl",1.41,129.3838,"CH2BrCl"
7301,"CCNC",0.15,59.1108,"C3H9N"
7304,"CC(C(=O)O)CC",1.18,102.1328,"C5H10O2"
7313,"CC(CCCCC)=O",1.98,114.187,"C7H14O"
7315,"BrCCCCCCC",4.36,179.0995,"C7H15Br"
7320,"COC(=O)C1=C(Cl)C=CC=C1",2.38,170.5951,"C8H7ClO2"
7324,"COC(=O)C1=CC=C(OC)C=C1",2.27,166.1762,"C9H10O3"
7359,"[N]3(C1C(O)C(C(O1)CO)O)C2=NC=NC(=C2N=C3)N",-1.05,267.2438,"C10H13N5O4"
7389,"O=C2C3=C(C1=CC=CC=C1C2=O)C=CC=C3",2.52,208.216,"C14H8O2"
7393,"CC(C(=O)O)=C",0.93,86.0902,"C4H6O2"
7415,"O=S(=O)(C2=CC1=C(C=CC=C1)C=C2)O",0.63,208.2314,"C10H8O3S"
7483,"COC1=CC=C(OC)C=C1",2.04,138.1658,"C8H10O2"
7485,"OCCN(CC)C1=CC=CC=C1",2.1,165.2346,"C10H15NO"
7490,"NCCC",0.48,59.1108,"C3H9N"
7513,"CC1NC(C)CCC1",1.53,113.2022,"C7H15N"
7514,"CC2=CC1=CC=CC=C1[NH]2",2.53,131.1768,"C9H9N"
7521,"OC46C2C(C1(C)CCC(C=C1CC2)OC3C(O)C(O)C(O)C(O3)C)CCC4(C)C(C5=COC(C=C5)=O)CC6",2.48,530.657,"C30H42O8"
7522,"O=CC46C3C(C2(C(C(C1=CC(=O)OC1)CC2)(C)CC3)O)CCC4(O)CC(OC5CC(OC)C(O)C(O5)C)CC6",0.64,548.6722,"C30H44O9"
7542,"O=S(N)(=O)C1=CC(=CC=C1)N",-0.38,172.2014,"C6H8N2O2S"
7550,"O=C(CNC(=O)C1=CC=C(N)C=C1)O",-0.89,194.1896,"C9H10N2O3"
7571,"NC1=C3C(=NC2=C1C=CC=C2)C=CC=C3",2.74,194.2354,"C13H10N2"
7583,"C2(C1OC1)CC3C(CC2)O3",0.44,140.1816,"C8H12O2"
7593,"CC#N",-0.34,41.0524,"C2H3N"
7594,"CC=O",-0.34,44.053,"C2H4O"
7596,"BrCC=C",1.79,120.9765,"C3H5Br"
7600,"C=CCN",0.03,57.095,"C3H7N"
7601,"CC(=NO)C",0.12,73.0944,"C3H7NO"
7602,"CC(C(=O)O)N",-2.96,89.0938,"C3H7NO2"
7603,"NCCC(=O)O",-3.05,89.0938,"C3H7NO2"
7604,"CC(C)O",0.05,60.0956,"C3H8O"
7608,"CC(NC(=O)NC)=O",-0.7,116.1194,"C4H8N2O2"
7612,"C=CCOC(C)=O",0.97,100.117,"C5H8O2"
7617,"N#CCCCCC#N",-0.32,108.1426,"C6H8N2"
7618,"O=S(N)(=O)C1=CC=C(N)C=C1",-0.62,172.2014,"C6H8N2O2S"
7621,"CC(CCC(C)=O)=O",-0.27,114.1438,"C6H10O2"
7622,"O=C(CCCCC(=O)O)O",0.08,146.1426,"C6H10O4"
7624,"CC(OCC)OCC",0.84,118.1754,"C6H14O2"
7627,"OC(=O)C1=CC=C(N)C=C1",0.83,137.1378,"C7H7NO2"
7630,"NC1=C(O)C=CC(=C1)C",1.16,123.1542,"C7H9NO"
7631,"COC1=CC(=CC=C1)N",0.93,123.1542,"C7H9NO"
7632,"C=CC(OC(C)=O)OC(C)=O",0.78,158.1536,"C7H10O4"
7635,"CC(=O)C1=CC=CC=C1",1.58,120.1506,"C8H8O"
7636,"CC(NC1=CC=CC=C1)=O",1.16,135.1652,"C8H9NO"
7637,"CC(=O)C1=CC(=CC=C1)N",0.83,135.1652,"C8H9NO"
7639,"NC1=C(C)C=CC(=C1)C",1.83,121.1816,"C8H11N"
7644,"CC(NC1=CC=C(C)C=C1)=O",1.7,149.192,"C9H11NO"
7646,"CC(NC1=C(C=CC(=C1)C)C)=O",1.47,163.2188,"C10H13NO"
7649,"CC(NC1=C(C=CC=C1)OCC)=O",1.49,179.2182,"C10H13NO2"
7650,"CC(NC1=CC(=CC=C1)OCC)=O",1.82,179.2182,"C10H13NO2"
7651,"CC(NC1=CC=C(OCC)C=C1)=O",1.58,179.2182,"C10H13NO2"
7656,"O=C3C1=C2C(=CC=C1)C=CC=C2C3=O",1.95,182.1782,"C12H6O2"
7657,"C3C1=CC=CC2=CC=CC(=C12)C3",3.92,154.211,"C12H10"
7660,"C1(=CC=CC=C1)C2=CC=C(N)C=C2",2.86,169.2256,"C12H11N"
7661,"NC2=C(C1=CC=CC=C1)C=CC=C2",2.84,169.2256,"C12H11N"
7667,"C=CCOC(=O)C1=C(C(OCC=C)=O)C=CC=C1",3.23,246.2622,"C14H14O4"
7700,"O=C(CCC(=O)O)O",-0.59,118.089,"C4H6O4"
7701,"CCCC(=O)O",0.79,88.106,"C4H8O2"
7702,"CCCCC(=O)O",1.39,102.1328,"C5H10O2"
7705,"OC(CC(=O)O)(CC(=O)O)C(=O)O",-1.72,192.125,"C6H8O7"
7706,"O=C2NC1=CC=CC=C1S2",1.76,151.1826,"C7H5NOS"
7707,"OC(=O)C1=CC=C([N+](=O)[O-])C=C1",1.89,167.1208,"C7H5NO4"
7721,"COC1=C(OC)C=CC(=C1)C(=O)O",1.61,182.1756,"C9H10O4"
7727,"CC1(C)C2CC1CC=C2C",4.83,136.2364,"C10H16"
7732,"C(OC(OC(C)=O)C1=CC=CC=C1)(C)=O",1.62,208.2134,"C11H12O4"
7739,"[N+](C1=CC(=C(O)C(=C1)[N+](=O)[O-])C2CCCCC2)(=O)[O-]",4.12,266.253,"C12H14N2O5"
7764,"N#CC(C)O",-0.94,71.0786,"C3H5NO"
7765,"CN(C#N)C",-0.15,70.0938,"C3H6N2"
7766,"NCCCO",-1.12,75.1102,"C3H9NO"
7770,"N#CCCNCCC#N",-1.34,123.1572,"C6H9N3"
7778,"O=C(C1=C(C=C(C=C1)OC)O)C2=CC=CC=C2",3.79,228.247,"C14H12O3"
7781,"C1(=C(O)C(=CC(=C1)C)C(C)(C)C)CC2=C(O)C(=CC(=C2)C)C(C)(C)C",6.25,340.5046,"C23H32O2"
7785,"C=CC(N)=O",-0.67,71.0786,"C3H5NO"
7789,"[O-][N+](=O)C1=CC=C(C(=O)O)C(=C1)N",1.91,182.1354,"C7H6N2O4"
7833,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C(=CC=C3N)N",3.0,238.2452,"C14H10N2O2"
7843,"NC1=C2C(=NC=N1)[N](C)C=N2",-0.03,149.1548,"C6H7N5"
7857,"NC1=C2C(=NC=N1)N=C[N]2C",-0.03,149.1548,"C6H7N5"
7885,"CCCCCCCCCCC(=O)O",4.42,186.2936,"C11H22O2"
7889,"O=C1CC(NC(N1)=O)=O",-1.47,128.0872,"C4H4N2O3"
7891,"NC(CC(N)=O)C(=O)O",-3.82,132.1188,"C4H8N2O3"
7895,"BrCCCCC",3.37,151.0459,"C5H11Br"
7900,"CC(CC)(C)Cl",2.52,106.5949,"C5H11Cl"
7906,"NCCCCC",1.49,87.1644,"C5H13N"
7909,"ClC1C(Cl)C(Cl)C(Cl)C(C1Cl)Cl",4.14,290.8314,"C6H6Cl6"
7910,"NC1=CC=CC=C1",0.9,93.128,"C6H7N"
7914,"C(NCCCC(N)C(=O)O)(=N)N",-4.2,174.2022,"C6H14N4O2"
7917,"O=CC1=CC=CC=C1",1.48,106.1238,"C7H6O"
7920,"COC1=CC=CC=C1",2.11,108.1396,"C7H8O"
7921,"COC1=CC=C(N)C=C1",0.95,123.1542,"C7H9NO"
7925,"OC(C(=O)O)C1=CC=CC=C1",0.62,152.1494,"C8H8O3"
7926,"OC(=O)C1=CC=C(OC)C=C1",1.96,152.1494,"C8H8O3"
7928,"NC(C(=O)O)C1=CC=CC=C1",-1.7,151.1646,"C8H9NO2"
7930,"NCC(O)C1=CC(=C(O)C=C1)O",-1.24,169.1798,"C8H11NO3"
7933,"NC1=C2C(=CC=C1)C=CC=N2",1.16,144.1756,"C9H8N2"
7934,"NC2=CC1=C(C=CC=C1)N=C2",1.63,144.1756,"C9H8N2"
7945,"CN1N(C(=O)C=C1C)C2=CC=CC=C2",0.38,188.2286,"C11H12N2O"
7957,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C=CC=C3",3.39,208.216,"C14H8O2"
7958,"C2=CC1=CC3=C(C=C1C=C2)C=CC=C3",4.45,178.233,"C14H10"
7966,"N#CCC",0.16,55.0792,"C3H5N"
7967,"P(=O)(N(C)C)(N(C)C)N(C)C",0.28,179.2015,"C6H18N3OP"
8018,"BrC(Cl)Cl",2.0,163.8289,"CHBrCl2"
8019,"BrC(Br)Br",2.4,252.7309,"CHBr3"
8024,"BrC(C(=O)O)CC",1.42,167.0021,"C4H7BrO2"
8028,"NCC(C)C",0.73,73.1376,"C4H11N"
8029,"CCCCN",0.97,73.1376,"C4H11N"
8030,"CC(CC)N",0.74,73.1376,"C4H11N"
8031,"BrC1=NC=CC=C1",1.42,157.9973,"C5H4BrN"
8034,"CC(OC(C)=O)CC",1.72,116.1596,"C6H12O2"
8035,"CC(COC(C)=O)C",1.78,116.1596,"C6H12O2"
8038,"FC(F)(F)C1=CC=CC=C1",3.01,146.1117,"C7H5F3"
8039,"N#CC1=CC=CC=C1",1.56,103.1232,"C7H5N"
8041,"BrCC1=CC=CC=C1",2.92,171.0363,"C7H7Br"
8042,"COC1=CC=C(C=C1)Br",3.05,187.0357,"C7H7BrO"
8043,"ClCC1=CC=CC=C1",2.3,126.5853,"C7H7Cl"
8044,"OCC1=CC=CC=C1",1.1,108.1396,"C7H8O"
8046,"NCC1=CC=CC=C1",1.09,107.1548,"C7H9N"
8048,"CC(NC1=CC=C(C=C1)Br)=O",2.29,214.0613,"C8H8BrNO"
8058,"COCC1=CC=CC=C1",1.92,122.1664,"C8H10O"
8059,"CNCC1=CC=CC=C1",1.52,121.1816,"C8H11N"
8065,"CC(NCC1=CC=CC=C1)=O",0.95,149.192,"C9H11NO"
8066,"CCOCC1=CC=CC=C1",2.16,136.1932,"C9H12O"
8075,"C1(=CC=CC=C1)CC2=CC=NC=C2",2.62,169.2256,"C12H11N"
8077,"O=C(C1=CC=CC=C1)C2=CC=CC=C2",3.18,182.2214,"C13H10O"
8078,"C1(=CC=CC=C1)CC2=CC=C(O)C=C2",3.47,184.2372,"C13H12O"
8080,"O=C(OCC1=CC=CC=C1)C2=CC=C(O)C=C2",3.56,228.247,"C14H12O3"
8081,"O=C(OCC1=CC=CC=C1)C2=CC=CC=C2",3.97,212.2476,"C14H12O2"
8091,"CC1=C(C)C=C(C)C=C1C",4.1,134.2206,"C10H14"
8099,"OC(C(CO)O)CO",-2.29,122.1206,"C4H10O4"
8100,"OCC(CO)(CO)CO",-1.69,136.1474,"C5H12O4"
8117,"OC(CO)C1C(=C(O)C(O1)=O)O",-1.64,176.1256,"C6H8O6"
8124,"O=C(CC(=O)O)O",-0.81,104.0622,"C3H4O4"
8134,"OC(COC1=C(C=CC=C1)C)CO",1.41,182.2188,"C10H14O3"
8135,"C(=C/C(=O)O)/C1=C(C=CC=C1)OC",2.54,178.1872,"C10H10O3"
8154,"NCCCN",-1.43,74.1254,"C3H10N2"
8183,"O=C1N(C(=O)C=C1)C2=CC=CC=C2",1.09,173.1708,"C10H7NO2"
8186,"NC1=C(C=CC=C1)SSC2=C(C=CC=C2)N",3.05,248.3602,"C12H12N2S2"
8194,"OC1(C#C)CCCCC1",1.73,124.1822,"C8H12O"
8204,"COC(=O)C1=C(O)C=CC=C1",2.55,152.1494,"C8H8O3"
8209,"CCOC(=O)C1=C(O)C=CC=C1",2.95,166.1762,"C9H10O3"
8221,"CCCOC(=O)C1=C(O)C=CC=C1",3.8,180.203,"C10H12O3"
8263,"CCOC(=O)C=C",1.32,100.117,"C5H8O2"
8266,"CCCCCC(=O)O",1.92,116.1596,"C6H12O2"
8366,"COC(=O)C1=CC=C(Cl)C=C1",2.87,170.5951,"C8H7ClO2"
8393,"OCCNC1=CC=CC=C1",0.82,137.181,"C8H11NO"
8401,"CCCC1=C(COCCOCCOCCCC)C=C2C(=C1)OCO2",4.75,338.443,"C19H30O5"
8404,"CC(OC=C)=O",0.73,86.0902,"C4H6O2"
8405,"CCOC=C",1.04,72.1066,"C4H8O"
8406,"CC(CCC)C(=O)O",1.8,116.1596,"C6H12O2"
8408,"ClCC(N)=O",-0.53,93.5127,"C2H4ClNO"
8410,"ClCCCC#N",0.56,103.5511,"C4H6ClN"
8412,"CCCC#N",0.53,69.106,"C4H7N"
8419,"ClCCCC",2.64,92.5681,"C4H9Cl"
8424,"CCCC(N)=O",-0.21,87.1212,"C4H9NO"
8431,"CC(CC)CO",1.29,88.1492,"C5H12O"
8433,"ClC1=CC=CC=C1",2.84,112.5585,"C6H5Cl"
8443,"OC(=O)C1=CC(=CC=C1)Cl",2.68,156.5683,"C7H5ClO2"
8444,"OC(=O)C1=CC=C(Cl)C=C1",2.65,156.5683,"C7H5ClO2"
8451,"C(C(COC(=O)CCC)O)O",-0.17,162.1852,"C7H14O4"
8454,"O=C(COC1=C(C=CC=C1)Cl)O",1.86,186.5945,"C8H7ClO3"
8455,"CC(NC1=C(C=CC=C1)Cl)=O",1.28,169.6103,"C8H8ClNO"
8457,"CCCCCCC=C",4.57,112.2144,"C8H16"
8459,"CCCCOCCCC",3.21,130.2296,"C8H18O"
8463,"CCCC(=O)C1=CC=CC=C1",2.77,148.2042,"C10H12O"
8465,"CCCCC1=CC=CC=C1",4.38,134.2206,"C10H14"
8466,"CC(CC)C1=CC=CC=C1",4.57,134.2206,"C10H14"
8474,"CCCCOC(=O)C1=CC=CC=C1",3.84,178.2304,"C11H14O2"
8475,"CCCCOC(=O)C1=CC=C(O)C=C1",3.57,194.2298,"C11H14O3"
8484,"P(=O)(OCCCC)(OCCCC)OCCCC",4.0,266.3167,"C12H27O4P"
8485,"O=C(NC1=CC=CC=C1)NC2=CC=CC=C2",3.0,212.2506,"C13H12N2O"
8500,"COC1=C(OC)C=CC(=C1)C=O",1.22,166.1762,"C9H10O3"
8505,"O=C3C1=C(C2=C(C=C1)OC(C2)C(C)=C)OC5C3C4=C(C=C(OC)C(=C4)OC)OC5",4.1,394.4232,"C23H22O6"
8510,"CCOC(=O)C1=CC=C(O)C=C1",2.47,166.1762,"C9H10O3"
8512,"OC(=O)C1=C(O)C=CC(=C1)O",1.74,154.122,"C7H6O4"
8514,"OC(=O)C1=CC(=CC(=C1)OC)OC",2.19,182.1756,"C9H10O4"
8625,"O=C1C2=C(C(=O)C=C1O)C=CC=C2",1.38,174.1556,"C10H6O3"
8626,"O=S(=O)(C1=C2C(=CC=C1)C=CC=C2O)O",-0.17,224.2308,"C10H8O4S"
8636,"CCNC1=C2C(=CC=C1)C=CC=C2",3.45,171.2414,"C12H13N"
8640,"O=C1C3=C(C(=O)C2=C1C=CC=C2)C=CC=C3O",3.52,224.2154,"C14H8O3"
8645,"O=C1/C(NC2=C1C=CC=C2)=C4\C(=O)C3=CC=CC=C3N4",3.72,262.2672,"C16H10N2O2"
8650,"CNC",-0.38,45.084,"C2H7N"
8652,"CC1(C)C(=O)NC(N1)=O",-0.48,128.1304,"C5H8N2O2"
8653,"CCC(=O)CC",0.99,86.1334,"C5H10O"
8654,"OC(CC)CC",1.21,88.1492,"C5H12O"
8657,"CC(CC(=O)OCC)=O",0.25,130.1432,"C6H10O3"
8695,"OC(CCC)CCC",2.22,116.2028,"C7H16O"
8699,"COC1=CC(=CC=C1)OC",2.21,138.1658,"C8H10O2"
8701,"CC(CC(C)=C)(C)C",4.55,112.2144,"C8H16"
8705,"OC(=O)C1=CC=C(OCC)C=C1",2.39,166.1762,"C9H10O3"
8707,"OC2=CC1=C(C=CC=C1)C=C2O",2.24,160.172,"C10H8O2"
8713,"CN(C)C1=C2C(=CC=C1)C=CC=C2",3.46,171.2414,"C12H13N"
8714,"CCCCCCCCCCCC",6.1,170.3374,"C12H26"
8715,"C1(=CC=CC=C1)N(C(N)=O)C2=CC=CC=C2",1.53,212.2506,"C13H12N2O"
8720,"O=C(C(C(OCC)=O)CC1=CC=CC=C1)OCC",2.76,250.2938,"C14H18O4"
8722,"O=C1C(NC(N1)=O)(C2=CC=CC=C2)C3=CC=CC=C3",2.47,252.272,"C15H12N2O2"
8727,"CNC(=S)NC",-0.24,104.1696,"C3H8N2S"
8728,"C1OCCOC1",-0.27,88.106,"C4H8O2"
8729,"CC1=N[NH]C(=C1)C",1.01,96.1316,"C5H8N2"
8732,"OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]",1.55,212.1184,"C7H4N2O6"
8735,"CC1=CC(=O)C=C(O1)C",0.1,124.139,"C7H8O2"
8736,"CCNC1=CC=CC=C1",2.16,121.1816,"C8H11N"
8742,"O=C(C(C1=CC=CC=C1)C2=CC=CC=C2)O",3.09,212.2476,"C14H12O2"
8743,"ClC(Cl)([N+](=O)[O-])Cl",2.09,164.3755,"CCl3NO2"
8746,"NC(C(=O)O)CS",-2.49,121.1538,"C3H7NO2S"
8750,"CC(C(C)=O)=O",-1.34,86.0902,"C4H6O2"
8754,"ClC1=CC(=CC=C1)Cl",3.53,147.0036,"C6H4Cl2"
8756,"NC1=C(Cl)C=C(C=C1)Cl",2.78,162.0182,"C6H5Cl2N"
8764,"CC1=C(Cl)C=C(C=C1)Cl",4.24,161.0304,"C7H6Cl2"
8766,"CC1=C(Cl)C=CC=C1",3.42,126.5853,"C7H7Cl"
8767,"CC1=CC(=CC=C1)Cl",3.28,126.5853,"C7H7Cl"
8768,"CC1=CC(=CC=C1)O",1.96,108.1396,"C7H8O"
8769,"O=C(COC1=CC=C(Cl)C=C1)O",2.25,186.5945,"C8H7ClO3"
8773,"CCCCNCCCC",2.83,129.2448,"C8H19N"
8774,"O=C2OC1=C(C=CC=C1)C=C2",1.39,146.1452,"C9H6O2"
8775,"OC/C=C/C1=CC=CC=C1",1.95,134.1774,"C9H10O"
8776,"CC(C)C1=CC=CC=C1",3.66,120.1938,"C9H12"
8781,"CCCCCCCCCC",5.01,142.2838,"C10H22"
8789,"C1(=CC=CC=C1)CCC2=CC=CC=C2",4.79,182.2646,"C14H14"
